CustomerKey,Customer Code,Name,Education,Occupation
12698,23697,"Kelly, Cody",Partial High School,Skilled Manual
12699,23698,"Coleman, Melissa",Partial High School,Skilled Manual
12700,23699,"Walker, Nicholas",Partial High School,Skilled Manual
12701,23700,"Young, Katelyn",Partial High School,Skilled Manual
12787,23786,"Serrano, Carrie",Partial High School,Manual
12788,23787,"Ward, Adrian",High School,Clerical
12790,23789,"Walker, Ryan",High School,Clerical
12791,23790,"Williams, Isabella",Partial High School,Clerical
12792,23791,"Griffin, Aaron",Partial High School,Clerical
12793,23792,"Wu, Jessie",Partial High School,Clerical
12795,23794,"Powell, Abigail",High School,Clerical
4839,15838,"Taylor, Julia",Partial College,Skilled Manual
4840,15839,"Taylor, William",Partial College,Skilled Manual
5219,16218,"Simmons, Julia",Bachelors,Skilled Manual
5223,16222,"Anderson, Brandon",Bachelors,Skilled Manual
5224,16223,"Collins, Carlos",Bachelors,Skilled Manual
18328,29327,"Chandra, Allen",High School,Skilled Manual
18330,29329,"Campbell, Lucas",High School,Skilled Manual
18335,29334,"Howard, Paige",Partial High School,Clerical
5083,16082,"Zeng, Autumn",Bachelors,Skilled Manual
5085,16084,"Wright, Allison",Bachelors,Professional
5088,16087,"Chen, Micah",Graduate Degree,Professional
5089,16088,"Sanders, Bryce",Bachelors,Professional
5846,16845,"Adams, Andrea",Graduate Degree,Management
5853,16852,"She, Kate",Bachelors,Management
5854,16853,"Bailey, Christina",Bachelors,Management
5855,16854,"Adams, Seth",Graduate Degree,Management
5862,16861,"Sharma, Luis",Bachelors,Management
5863,16862,"Nelson, Timothy",Bachelors,Management
5866,16865,"Diaz, Jordyn",High School,Professional
5073,16072,"Evans, Caleb",Graduate Degree,Professional
5075,16074,"Roberts, Caleb",Graduate Degree,Professional
5076,16075,"Johnson, Alexis",Graduate Degree,Professional
5077,16076,"Rogers, Catherine",Graduate Degree,Professional
5078,16077,"Rogers, Stephanie",Graduate Degree,Professional
5080,16079,"Carter, Natalie",Graduate Degree,Professional
5081,16080,"Patterson, Oscar",High School,Skilled Manual
4261,15260,"Torres, Kathleen",Partial High School,Clerical
4277,15276,"Hall, Megan",Partial College,Skilled Manual
4278,15277,"Griffin, Hailey",Partial College,Skilled Manual
4279,15278,"Russell, Brandon",Partial College,Skilled Manual
4425,15424,"Hill, Rebecca",Partial College,Skilled Manual
4520,15519,"Evans, Jennifer",Partial High School,Clerical
4814,15813,"Diaz, Julian",High School,Skilled Manual
4820,15819,"Cox, Savannah",High School,Skilled Manual
4821,15820,"Ward, Chase",High School,Skilled Manual
4825,15824,"Kumar, Lindsay",Partial High School,Clerical
12796,23795,"Moore, Lauren",High School,Clerical
12797,23796,"Young, Miguel",High School,Clerical
12798,23797,"Perez, Nathan",Partial High School,Clerical
12801,23800,"Cox, Kaylee",Partial High School,Clerical
12802,23801,"Wood, Taylor",Partial High School,Clerical
12803,23802,"Diaz, Emily",Partial High School,Clerical
12806,23805,"Hayes, Luke",High School,Skilled Manual
13238,24237,"Henderson, Chloe",Partial College,Skilled Manual
13276,24275,"Rivera, Lucas",Partial College,Skilled Manual
13448,24447,"Morgan, Cody",High School,Professional
13449,24448,"Lopez, Amanda",High School,Professional
13450,24449,"Simmons, Melanie",High School,Professional
13452,24451,"Morgan, Bailey",High School,Professional
13491,24490,"Suarez, Dwayne",High School,Skilled Manual
13493,24492,"Lopez, Devin",High School,Skilled Manual
13619,24618,"Gonzalez, Brett",High School,Professional
13620,24619,"Kelly, Shelby",High School,Professional
13621,24620,"Morgan, Olivia",High School,Professional
13649,24648,"King, Amanda",Partial High School,Clerical
13652,24651,"Alexander, Dakota",Partial High School,Clerical
13653,24652,"Butler, Luke",Partial High School,Clerical
13738,24737,"Bailey, Angela",Partial High School,Clerical
13741,24740,"Cooper, Shelby",Partial High School,Clerical
13742,24741,"Perry, Brittany",Partial High School,Clerical
13744,24743,"Coleman, Chloe",High School,Skilled Manual
13746,24745,"Ward, Jennifer",High School,Skilled Manual
18784,CS461,Unknown,Unknown,Unknown
12692,23691,"Hu, Karen",Partial High School,Clerical
12794,23793,"Kumar, Ryan",High School,Clerical
12800,23799,"Chandra, Carolyn",Partial High School,Clerical
13500,24499,"Lewis, Olivia",Partial High School,Clerical
13618,24617,"She, Kelsey",High School,Professional
18336,29335,"Bryant, Justin",Partial High School,Clerical
5079,16078,"James, Nicole",Graduate Degree,Professional
5087,16086,"Watson, Charles",Graduate Degree,Professional
5861,16860,"Rogers, Haley",Bachelors,Management
4260,15259,"Zhu, Franklin",Partial High School,Clerical
4822,15821,"Anderson, Logan",High School,Skilled Manual
12276,23275,"Jackson, Miguel",High School,Skilled Manual
12329,23328,"Butler, Julian",Partial College,Skilled Manual
12520,23519,"Long, Jacqueline",High School,Professional
12697,23696,"Li, Autumn",Partial High School,Skilled Manual
12805,23804,"Ma, Kristen",High School,Skilled Manual
13237,24236,"Nelson, Isabella",Partial College,Skilled Manual
13651,24650,"Baker, Julia",Partial High School,Clerical
13737,24736,"Ramirez, Savannah",Partial High School,Clerical
5016,16015,"Cooper, Jessica",Partial College,Skilled Manual
5222,16221,"Saunders, Darren",Bachelors,Skilled Manual
5867,16866,"Parker, Alexandra",Bachelors,Management
4280,15279,"Lee, Hunter",Partial College,Skilled Manual
12281,23280,"Alexander, Hannah",High School,Skilled Manual
12789,23788,"Smith, Michael",High School,Clerical
13451,24450,"Long, Isabel",High School,Professional
13733,24732,"Davis, Wyatt",Bachelors,Skilled Manual
13743,24742,"Ramirez, Rachel",High School,Clerical
18329,29328,"Alexander, Jason",High School,Skilled Manual
5074,16073,"Bryant, Miranda",Graduate Degree,Professional
5082,16081,"Cai, Arturo",Bachelors,Skilled Manual
9329,20328,"Carter, Sierra",Bachelors,Management
9330,20329,"Yang, Jose",Bachelors,Management
9336,20335,"Gonzales, Adam",Bachelors,Management
9337,20336,"Young, Ian",Bachelors,Management
9338,20337,"Hall, Xavier",High School,Professional
9339,20338,"James, Anna",Bachelors,Management
9341,20340,"Kelly, Makayla",Bachelors,Management
9345,20344,"Anand, Ashlee",Bachelors,Management
9346,20345,"Martinez, Regina",Bachelors,Management
9347,20346,"Washington, Angelica",Bachelors,Management
9348,20347,"Roberts, Savannah",Bachelors,Management
9361,20360,"Russell, Brianna",Graduate Degree,Management
9365,20364,"Jackson, Anna",Graduate Degree,Management
9367,20366,"Powell, Marcus",High School,Professional
9368,20367,"Anderson, Jessica",High School,Professional
9462,20461,"Nelson, Mackenzie",Bachelors,Management
9476,20475,"Martinez, Blake",Bachelors,Management
9477,20476,"Long, Destiny",Graduate Degree,Management
9478,20477,"Washington, Brandon",Graduate Degree,Management
9636,20635,"Young, Nathan",Bachelors,Management
9637,20636,"Patterson, Olivia",Bachelors,Management
9645,20644,"Brooks, Patrick",Graduate Degree,Management
10272,21271,"Wang, Thomas",Bachelors,Management
10288,21287,"Jimenez, Kendra",Bachelors,Management
10289,21288,"Hall, Hunter",Bachelors,Management
10294,21293,"Garcia, Ashley",Partial College,Professional
10295,21294,"Foster, David",Bachelors,Management
10301,21300,"Morgan, Kaylee",Bachelors,Management
10317,21316,"Thompson, John",Graduate Degree,Management
10325,21324,"Baker, Chloe",Partial College,Professional
10327,21326,"Green, Andrea",Partial College,Professional
10328,21327,"Washington, Connor",Bachelors,Management
10420,21419,"Ma, Gilbert",Bachelors,Management
10434,21433,"Martinez, Gerald",Bachelors,Management
10435,21434,"Smith, Isabella",Graduate Degree,Management
10436,21435,"Alexander, Connor",Bachelors,Management
1710,12709,"Rodriguez, Ian",Bachelors,Management
2017,13016,"Bryant, Antonio",Graduate Degree,Management
2093,13092,"Walker, William",Graduate Degree,Management
2177,13176,"Chander, Kurt",Graduate Degree,Management
2187,13186,"Sanders, Marcus",Graduate Degree,Management
6624,17623,"Robinson, Austin",Bachelors,Professional
6625,17624,"Alexander, Samantha",Bachelors,Professional
6660,17659,"Tang, Jodi",Graduate Degree,Skilled Manual
6661,17660,"Young, Seth",Graduate Degree,Skilled Manual
6662,17661,"Smith, Natalie",Partial College,Clerical
6343,17342,"Jones, William",Partial High School,Clerical
6370,17369,"Brown, Ethan",Partial College,Skilled Manual
6486,17485,"Davis, Blake",Partial College,Skilled Manual
6487,17486,"Foster, Marissa",Partial College,Skilled Manual
6488,17487,"Green, Nathan",Partial College,Skilled Manual
6499,17498,"Martin, Daniel",Partial College,Skilled Manual
6519,17518,"Gill, Wendy",Partial High School,Skilled Manual
6557,17556,"Powell, Emily",Partial High School,Clerical
6659,17658,"Howard, Jade",High School,Manual
6664,17663,"Hayes, Elizabeth",High School,Clerical
6665,17664,"Robinson, Devin",High School,Clerical
18825,CS580,Unknown,Unknown,Unknown
18795,CS479,Unknown,Unknown,Unknown
18814,CS552,Unknown,Unknown,Unknown
9328,20327,"Perez, Sophia",Bachelors,Management
10326,21325,"Hayes, Angela",High School,Professional
1534,12533,"Washington, Luis",Graduate Degree,Management
6558,17557,"Davis, Matthew",Partial High School,Clerical
9335,20334,"Mitchell, Jeremiah",Bachelors,Management
10271,21270,"Jackson, Daniel",Graduate Degree,Management
1365,12364,"Rogers, Erin",Bachelors,Management
9340,20339,"Hughes, Kaitlyn",Bachelors,Management
9349,20348,"Evans, Chloe",Bachelors,Management
9463,20462,"Mitchell, Haley",Graduate Degree,Management
10318,21317,"Rivera, Lauren",Graduate Degree,Management
10744,21743,"Rubio, Theresa",Bachelors,Management
6344,17343,"Price, Tristan",Partial High School,Clerical
6506,17505,"Mitchell, Hunter",High School,Skilled Manual
5372,16371,"Diaz, Caleb",Partial College,Clerical
5373,16372,"Foster, Vanessa",Partial College,Clerical
5374,16373,"Cook, Sara",Partial College,Clerical
5376,16375,"Hernandez, Gabriella",Partial College,Clerical
5377,16376,"Wright, Maria",Partial College,Clerical
5378,16377,"Adams, Jordan",Graduate Degree,Skilled Manual
5379,16378,"Baker, Hailey",Graduate Degree,Skilled Manual
17642,28641,"Butler, Brittany",Graduate Degree,Skilled Manual
17644,28643,"Gray, Xavier",Graduate Degree,Skilled Manual
17645,28644,"Chow, Martha",Graduate Degree,Skilled Manual
17646,28645,"Fernandez, Martin",Graduate Degree,Skilled Manual
17650,28649,"Martinez, Nathan",Graduate Degree,Skilled Manual
5383,16382,"Davis, Jennifer",Graduate Degree,Skilled Manual
5384,16383,"Kelly, Brian",Graduate Degree,Skilled Manual
5385,16384,"Reed, Jada",Graduate Degree,Skilled Manual
5386,16385,"Perez, James",Graduate Degree,Skilled Manual
5478,16477,"Gonzales, Anna",Partial High School,Clerical
5479,16478,"Gray, Adrian",Partial College,Skilled Manual
9788,20787,"Pal, Bridget",Graduate Degree,Skilled Manual
9789,20788,"Gonzalez, Sara",Graduate Degree,Skilled Manual
9791,20790,"Harrison, Kayla",Graduate Degree,Skilled Manual
9792,20791,"Patterson, Ryan",Graduate Degree,Skilled Manual
10141,21140,"Diaz, Byron",High School,Skilled Manual
7228,18227,"Diaz, Miranda",Partial College,Skilled Manual
7229,18228,"Parker, Adam",Partial College,Skilled Manual
7230,18229,"Ward, Gabriella",Partial College,Skilled Manual
7231,18230,"Perry, Brianna",Bachelors,Professional
7233,18232,"Edwards, Sophia",Partial College,Skilled Manual
7234,18233,"Bailey, Mackenzie",Bachelors,Professional
7235,18234,"Russell, Alexandria",Bachelors,Professional
7312,18311,"Mitchell, Jennifer",High School,Skilled Manual
7313,18312,"Moore, Miguel",High School,Skilled Manual
7319,18318,"Hughes, Benjamin",High School,Skilled Manual
7324,18323,"Clark, Jeremy",High School,Skilled Manual
7329,18328,"Rai, Alvin",High School,Skilled Manual
10142,21141,"Li, Omar",High School,Skilled Manual
10143,21142,"Brooks, Mason",High School,Skilled Manual
10144,21143,"Campbell, Allison",Partial College,Skilled Manual
10146,21145,"Lal, Mindy",Bachelors,Professional
10147,21146,"Taylor, Robert",Partial College,Skilled Manual
10148,21147,"Rogers, Angel",Partial College,Skilled Manual
5019,16018,"Henderson, Emma",Partial College,Skilled Manual
5020,16019,"Hernandez, Amber",Partial College,Skilled Manual
5025,16024,"Hill, Isaac",Partial College,Skilled Manual
8405,19404,"Moore, Nicole",High School,Skilled Manual
8634,19633,"Gray, Destiny",High School,Skilled Manual
8639,19638,"Peterson, Kimberly",High School,Skilled Manual
8640,19639,"Gill, Victor",High School,Skilled Manual
8642,19641,"Evans, Richard",Partial High School,Clerical
8645,19644,"Gill, Gloria",Partial High School,Clerical
8657,19656,"Travers, Sydney",Partial College,Skilled Manual
8770,19769,"Peterson, Andrea",Partial College,Skilled Manual
9070,20069,"Smith, Jessica",Graduate Degree,Skilled Manual
9075,20074,"Madan, Preston",High School,Manual
9077,20076,"Vazquez, Beth",High School,Manual
9078,20077,"Coleman, Aidan",High School,Manual
9079,20078,"Lee, Jose",High School,Manual
9080,20079,"Taylor, Alexandra",High School,Manual
9082,20081,"Xie, Jerry",High School,Manual
9090,20089,"Powell, Luis",High School,Manual
9091,20090,"Edwards, Blake",High School,Clerical
9092,20091,"Parker, Andrea",High School,Clerical
9096,20095,"Flores, Ana",High School,Clerical
9099,20098,"Lewis, Alexis",High School,Skilled Manual
9100,20099,"Xie, Devon",High School,Skilled Manual
9101,20100,"Watson, Jesse",High School,Skilled Manual
9102,20101,"Hayes, Devin",High School,Skilled Manual
9140,20139,"Wright, Connor",Bachelors,Manual
9271,20270,"Phillips, Kevin",High School,Skilled Manual
9277,20276,"Sanchez, Haley",High School,Skilled Manual
9294,20293,"Jackson, Rachel",Partial College,Skilled Manual
9295,20294,"Davis, Julia",Partial College,Skilled Manual
9306,20305,"Ross, Caleb",Partial College,Skilled Manual
9307,20306,"Baker, Mary",Partial College,Skilled Manual
9309,20308,"Uittenbogaard, Pieter",Partial College,Skilled Manual
9498,20497,"Javier Castrejón, Francisco",Partial High School,Clerical
9738,20737,"Griffin, Victoria",Partial College,Clerical
9740,20739,"Carter, Kaitlyn",High School,Manual
9743,20742,"Stewart, Isabella",High School,Manual
9744,20743,"Howard, Arianna",High School,Manual
9745,20744,"Barnes, Amanda",High School,Manual
9748,20747,"Vazquez, Melody",Partial High School,Clerical
9749,20748,"Watson, Stephanie",Partial High School,Clerical
9750,20749,"Morgan, Joan",High School,Clerical
9752,20751,"Arthur, Jermaine",High School,Clerical
9753,20752,"Simmons, Christian",High School,Clerical
9754,20753,"Kelly, Taylor",High School,Clerical
9759,20758,"Sanders, Jesse",High School,Skilled Manual
9763,20762,"King, Jennifer",High School,Skilled Manual
9764,20763,"Carter, Lucas",High School,Skilled Manual
10234,21233,"Smith, Christopher",High School,Skilled Manual
10235,21234,"Rivera, Brianna",High School,Skilled Manual
10238,21237,"Washington, Luke",High School,Skilled Manual
10241,21240,"Jenkins, Aaron",Partial High School,Clerical
10242,21241,"Griffin, Carson",Partial High School,Clerical
10243,21242,"Patterson, Morgan",Partial High School,Clerical
10386,21385,"Peterson, Nicole",Partial College,Skilled Manual
10387,21386,"Wood, Abigail",Partial College,Skilled Manual
10698,21697,"Powell, Dalton",High School,Manual
10699,21698,"She, Tracy",High School,Manual
10702,21701,"Sanders, Abigail",High School,Clerical
10707,21706,"Murphy, Haley",High School,Skilled Manual
10708,21707,"Simmons, Cassidy",High School,Skilled Manual
11013,22012,"Malhotra, Regina",High School,Skilled Manual
11014,22013,"Jenkins, Marcus",High School,Skilled Manual
11022,22021,"White, Ethan",Partial High School,Clerical
11023,22022,"Davis, Christopher",Partial High School,Clerical
11332,22331,"Yuan, Michele",Partial College,Clerical
18785,CS462,Unknown,Unknown,Unknown
18842,CS611,Unknown,Unknown,Unknown
5014,16013,"Williams, Xavier",Partial College,Skilled Manual
5023,16022,"Hernandez, Devin",Partial High School,Clerical
5380,16379,"Jimenez, Marc",Graduate Degree,Skilled Manual
9084,20083,"Kumar, Terry",High School,Manual
9272,20271,"Fernandez, Barry",High School,Skilled Manual
9308,20307,"Blue, Natalie",Partial College,Skilled Manual
9755,20754,"Davis, Ian",High School,Skilled Manual
10697,21696,"Watson, Gabrielle",High School,Manual
10706,21705,"Sharma, Warren",High School,Skilled Manual
11024,22023,"Chen, Rafael",Partial High School,Clerical
